"time","strata",".pred_survival"
9,"clusterCC=1, clusterFC=1, clusterTC=2",0.699055628007984
10,"clusterCC=1, clusterFC=1, clusterTC=2",0.679384963591409
11,"clusterCC=1, clusterFC=1, clusterTC=2",0.660824523587612
12,"clusterCC=1, clusterFC=1, clusterTC=2",0.64320706883116
13,"clusterCC=1, clusterFC=1, clusterTC=2",0.626430985590397
14,"clusterCC=1, clusterFC=1, clusterTC=2",0.610427342466738
15,"clusterCC=1, clusterFC=1, clusterTC=2",0.595143832967462
16,"clusterCC=1, clusterFC=1, clusterTC=2",0.580536983640678
17,"clusterCC=1, clusterFC=1, clusterTC=2",0.566568389967639
18,"clusterCC=1, clusterFC=1, clusterTC=2",0.553202907800176
19,"clusterCC=1, clusterFC=1, clusterTC=2",0.540407787691204
20,"clusterCC=1, clusterFC=1, clusterTC=2",0.528152257487196
21,"clusterCC=1, clusterFC=1, clusterTC=2",0.516407312470069
22,"clusterCC=1, clusterFC=1, clusterTC=2",0.505145566668549
23,"clusterCC=1, clusterFC=1, clusterTC=2",0.494048248972105
24,"clusterCC=1, clusterFC=1, clusterTC=2",0.457683982975391
25,"clusterCC=1, clusterFC=1, clusterTC=2",0.386056250299719
26,"clusterCC=1, clusterFC=1, clusterTC=2",0.369824443263786
27,"clusterCC=1, clusterFC=1, clusterTC=2",0.360594410925681
28,"clusterCC=1, clusterFC=1, clusterTC=2",0.351740633978971
29,"clusterCC=1, clusterFC=1, clusterTC=2",0.343218677083482
30,"clusterCC=1, clusterFC=1, clusterTC=2",0.335011800672706
31,"clusterCC=1, clusterFC=1, clusterTC=2",0.327104286099628
32,"clusterCC=1, clusterFC=1, clusterTC=2",0.319481366611444
33,"clusterCC=1, clusterFC=1, clusterTC=2",0.312129165502764
34,"clusterCC=1, clusterFC=1, clusterTC=2",0.305034637513978
35,"clusterCC=1, clusterFC=1, clusterTC=2",0.29818551359402
36,"clusterCC=1, clusterFC=1, clusterTC=2",0.291570249047989
37,"clusterCC=1, clusterFC=1, clusterTC=2",0.285177975018312
38,"clusterCC=1, clusterFC=1, clusterTC=2",0.278998453198
39,"clusterCC=1, clusterFC=1, clusterTC=2",0.273022033641111
40,"clusterCC=1, clusterFC=1, clusterTC=2",0.267239615514907
41,"clusterCC=1, clusterFC=1, clusterTC=2",0.261642610626898
42,"clusterCC=1, clusterFC=1, clusterTC=2",0.256222909555621
43,"clusterCC=1, clusterFC=1, clusterTC=2",0.250972850214519
44,"clusterCC=1, clusterFC=1, clusterTC=2",0.245885188682203
45,"clusterCC=1, clusterFC=1, clusterTC=2",0.240953072138574
46,"clusterCC=1, clusterFC=1, clusterTC=2",0.236170013753956
47,"clusterCC=1, clusterFC=1, clusterTC=2",0.231529869386846
48,"clusterCC=1, clusterFC=1, clusterTC=2",0.227026815954763
49,"clusterCC=1, clusterFC=1, clusterTC=2",0.22265533135167
50,"clusterCC=1, clusterFC=1, clusterTC=2",0.218410175794216
51,"clusterCC=1, clusterFC=1, clusterTC=2",0.214286374487618
52,"clusterCC=1, clusterFC=1, clusterTC=2",0.21027920151014
53,"clusterCC=1, clusterFC=1, clusterTC=2",0.206384164822843
54,"clusterCC=1, clusterFC=1, clusterTC=2",0.202596992318526
55,"clusterCC=1, clusterFC=1, clusterTC=2",0.198913618830557
56,"clusterCC=1, clusterFC=1, clusterTC=2",0.195330174028556
57,"clusterCC=1, clusterFC=1, clusterTC=2",0.191842971133768
58,"clusterCC=1, clusterFC=1, clusterTC=2",0.188448496392286
59,"clusterCC=1, clusterFC=1, clusterTC=2",0.185143399249317
60,"clusterCC=1, clusterFC=1, clusterTC=2",0.181924483172182
61,"clusterCC=1, clusterFC=1, clusterTC=2",0.178788697074009
62,"clusterCC=1, clusterFC=1, clusterTC=2",0.175733127293872
63,"clusterCC=1, clusterFC=1, clusterTC=2",0.172754990092701
64,"clusterCC=1, clusterFC=1, clusterTC=2",0.169851624627526
65,"clusterCC=1, clusterFC=1, clusterTC=2",0.167020486369571
66,"clusterCC=1, clusterFC=1, clusterTC=2",0.164259140934467
67,"clusterCC=1, clusterFC=1, clusterTC=2",0.161565258295323
68,"clusterCC=1, clusterFC=1, clusterTC=2",0.158936607351692
69,"clusterCC=1, clusterFC=1, clusterTC=2",0.156371050829575
70,"clusterCC=1, clusterFC=1, clusterTC=2",0.153866540489502
71,"clusterCC=1, clusterFC=1, clusterTC=2",0.151421112621519
72,"clusterCC=1, clusterFC=1, clusterTC=2",0.14903288380751
73,"clusterCC=1, clusterFC=1, clusterTC=2",0.146700046932764
74,"clusterCC=1, clusterFC=1, clusterTC=2",0.144420867430066
75,"clusterCC=1, clusterFC=1, clusterTC=2",0.142193679740838
76,"clusterCC=1, clusterFC=1, clusterTC=2",0.140016883979006
77,"clusterCC=1, clusterFC=1, clusterTC=2",0.137888942784312
78,"clusterCC=1, clusterFC=1, clusterTC=2",0.135808378352781
79,"clusterCC=1, clusterFC=1, clusterTC=2",0.133773769632923
80,"clusterCC=1, clusterFC=1, clusterTC=2",0.131783749677101
81,"clusterCC=1, clusterFC=1, clusterTC=2",0.12983700313821
82,"clusterCC=1, clusterFC=1, clusterTC=2",0.127932263902558
83,"clusterCC=1, clusterFC=1, clusterTC=2",0.126068312850451
84,"clusterCC=1, clusterFC=1, clusterTC=2",0.12424397573658
85,"clusterCC=1, clusterFC=1, clusterTC=2",0.122458121182871
86,"clusterCC=1, clusterFC=1, clusterTC=2",0.12070965877696
87,"clusterCC=1, clusterFC=1, clusterTC=2",0.118997537269894
88,"clusterCC=1, clusterFC=1, clusterTC=2",0.117320742867153
89,"clusterCC=1, clusterFC=1, clusterTC=2",0.115678297607418
90,"clusterCC=1, clusterFC=1, clusterTC=2",0.114069257823925
91,"clusterCC=1, clusterFC=1, clusterTC=2",0.112492712683583
92,"clusterCC=1, clusterFC=1, clusterTC=2",0.110947782799332
93,"clusterCC=1, clusterFC=1, clusterTC=2",0.109433618911528
94,"clusterCC=1, clusterFC=1, clusterTC=2",0.107949400634413
95,"clusterCC=1, clusterFC=1, clusterTC=2",0.106494335263985
96,"clusterCC=1, clusterFC=1, clusterTC=2",0.105067656643796
97,"clusterCC=1, clusterFC=1, clusterTC=2",0.103668624085462
98,"clusterCC=1, clusterFC=1, clusterTC=2",0.102296521340849
99,"clusterCC=1, clusterFC=1, clusterTC=2",0.100950655623076
100,"clusterCC=1, clusterFC=1, clusterTC=2",0.0996303566736947
101,"clusterCC=1, clusterFC=1, clusterTC=2",0.0983349758735224
102,"clusterCC=1, clusterFC=1, clusterTC=2",0.0970638853947917
103,"clusterCC=1, clusterFC=1, clusterTC=2",0.0958164773924032
104,"clusterCC=1, clusterFC=1, clusterTC=2",0.0945921632322124
105,"clusterCC=1, clusterFC=1, clusterTC=2",0.0933903727543972
106,"clusterCC=1, clusterFC=1, clusterTC=2",0.0922105535700754
107,"clusterCC=1, clusterFC=1, clusterTC=2",0.091052170389445
108,"clusterCC=1, clusterFC=1, clusterTC=2",0.0899147043798218
109,"clusterCC=1, clusterFC=1, clusterTC=2",0.088797652552048
110,"clusterCC=1, clusterFC=1, clusterTC=2",0.0877005271738239
111,"clusterCC=1, clusterFC=1, clusterTC=2",0.0866228552086116
112,"clusterCC=1, clusterFC=1, clusterTC=2",0.0855641777788205
113,"clusterCC=1, clusterFC=1, clusterTC=2",0.0845240496520743
114,"clusterCC=1, clusterFC=1, clusterTC=2",0.0835020387494114
115,"clusterCC=1, clusterFC=1, clusterTC=2",0.0824977256743449
116,"clusterCC=1, clusterFC=1, clusterTC=2",0.0815107032617648
117,"clusterCC=1, clusterFC=1, clusterTC=2",0.0805405761457185
118,"clusterCC=1, clusterFC=1, clusterTC=2",0.0795869603451639
119,"clusterCC=1, clusterFC=1, clusterTC=2",0.0786494828668329
120,"clusterCC=1, clusterFC=1, clusterTC=2",0.0777277813243937
121,"clusterCC=1, clusterFC=1, clusterTC=2",0.0768215035731424
122,"clusterCC=1, clusterFC=1, clusterTC=2",0.0759303073594949
123,"clusterCC=1, clusterFC=1, clusterTC=2",0.0750538599845909
124,"clusterCC=1, clusterFC=1, clusterTC=2",0.0741918379813532
125,"clusterCC=1, clusterFC=1, clusterTC=2",0.0733439268043889
126,"clusterCC=1, clusterFC=1, clusterTC=2",0.0725098205321382
127,"clusterCC=1, clusterFC=1, clusterTC=2",0.0716892215807201
128,"clusterCC=1, clusterFC=1, clusterTC=2",0.0708818404289439
129,"clusterCC=1, clusterFC=1, clusterTC=2",0.0700873953539853
130,"clusterCC=1, clusterFC=1, clusterTC=2",0.0693056121772537
131,"clusterCC=1, clusterFC=1, clusterTC=2",0.0685362240199956
132,"clusterCC=1, clusterFC=1, clusterTC=2",0.0677789710682064
133,"clusterCC=1, clusterFC=1, clusterTC=2",0.0670336003464456
135,"clusterCC=1, clusterFC=1, clusterTC=2",0.0655775265861647
136,"clusterCC=1, clusterFC=1, clusterTC=2",0.0648663498708913
