"time","strata",".pred_hazard"
89,"CC=1, clusterFC=2, TC=2",0.00936034665700341
90,"CC=1, clusterFC=2, TC=2",0.00915614591800373
91,"CC=1, clusterFC=2, TC=2",0.00895744668939442
92,"CC=1, clusterFC=2, TC=2",0.00876557397295341
93,"CC=1, clusterFC=2, TC=2",0.00858191459581103
94,"CC=1, clusterFC=2, TC=2",0.00840792064034057
95,"CC=1, clusterFC=2, TC=2",0.00824511045877534
96,"CC=1, clusterFC=2, TC=2",0.00809506695753473
97,"CC=1, clusterFC=2, TC=2",0.00795943292125202
98,"CC=1, clusterFC=2, TC=2",0.00783990324712622
99,"CC=1, clusterFC=2, TC=2",0.00773821407204365
100,"CC=1, clusterFC=2, TC=2",0.00765612889255599
1,"CC=2, clusterFC=1, TC=2",5.85438132238064e-09
2,"CC=2, clusterFC=1, TC=2",8.24636977742623e-08
3,"CC=2, clusterFC=1, TC=2",3.3064928435634e-07
4,"CC=2, clusterFC=1, TC=2",8.22510983113337e-07
5,"CC=2, clusterFC=1, TC=2",1.59686831736806e-06
6,"CC=2, clusterFC=1, TC=2",2.66824664286693e-06
7,"CC=2, clusterFC=1, TC=2",4.0352225685685e-06
8,"CC=2, clusterFC=1, TC=2",5.68645005837751e-06
9,"CC=2, clusterFC=1, TC=2",7.60475296097154e-06
10,"CC=2, clusterFC=1, TC=2",9.76998549638696e-06
11,"CC=2, clusterFC=1, TC=2",1.2161903967413e-05
12,"CC=2, clusterFC=1, TC=2",1.4766418689115e-05
13,"CC=2, clusterFC=1, TC=2",1.75934693052266e-05
14,"CC=2, clusterFC=1, TC=2",2.07212560176661e-05
15,"CC=2, clusterFC=1, TC=2",2.4384074358249e-05
16,"CC=2, clusterFC=1, TC=2",2.91115694125834e-05
17,"CC=2, clusterFC=1, TC=2",3.59026519185752e-05
18,"CC=2, clusterFC=1, TC=2",4.63854754490014e-05
19,"CC=2, clusterFC=1, TC=2",6.28928656511749e-05
20,"CC=2, clusterFC=1, TC=2",8.8386591026841e-05
21,"CC=2, clusterFC=1, TC=2",0.000126198188826722
22,"CC=2, clusterFC=1, TC=2",0.000179607649851284
23,"CC=2, clusterFC=1, TC=2",0.000251333503845886
24,"CC=2, clusterFC=1, TC=2",0.000343039097567256
25,"CC=2, clusterFC=1, TC=2",0.000454960111916592
26,"CC=2, clusterFC=1, TC=2",0.000585729962075699
27,"CC=2, clusterFC=1, TC=2",0.000732434257043471
28,"CC=2, clusterFC=1, TC=2",0.000890877779582064
29,"CC=2, clusterFC=1, TC=2",0.00105600988806847
30,"CC=2, clusterFC=1, TC=2",0.00122243363876211
31,"CC=2, clusterFC=1, TC=2",0.00138492109556083
32,"CC=2, clusterFC=1, TC=2",0.0015388686421749
33,"CC=2, clusterFC=1, TC=2",0.00168064594555769
34,"CC=2, clusterFC=1, TC=2",0.00180781479027404
35,"CC=2, clusterFC=1, TC=2",0.00191921480042614
36,"CC=2, clusterFC=1, TC=2",0.00201492931575361
37,"CC=2, clusterFC=1, TC=2",0.00209615527091489
38,"CC=2, clusterFC=1, TC=2",0.00216500597842366
39,"CC=2, clusterFC=1, TC=2",0.0022242761514682
40,"CC=2, clusterFC=1, TC=2",0.00227719559131679
41,"CC=2, clusterFC=1, TC=2",0.00232719301300591
42,"CC=2, clusterFC=1, TC=2",0.00237768564340037
43,"CC=2, clusterFC=1, TC=2",0.00243190439347266
44,"CC=2, clusterFC=1, TC=2",0.00249275919624984
45,"CC=2, clusterFC=1, TC=2",0.00256274486586372
46,"CC=2, clusterFC=1, TC=2",0.0026438847073654
47,"CC=2, clusterFC=1, TC=2",0.00273770706636351
48,"CC=2, clusterFC=1, TC=2",0.00284524892190812
49,"CC=2, clusterFC=1, TC=2",0.00296708030910982
50,"CC=2, clusterFC=1, TC=2",0.00310334360630813
51,"CC=2, clusterFC=1, TC=2",0.00325380234206895
52,"CC=2, clusterFC=1, TC=2",0.00341789500394789
53,"CC=2, clusterFC=1, TC=2",0.00359479023291632
54,"CC=2, clusterFC=1, TC=2",0.0037834406700033
55,"CC=2, clusterFC=1, TC=2",0.00398263352354072
56,"CC=2, clusterFC=1, TC=2",0.00419103661239319
57,"CC=2, clusterFC=1, TC=2",0.00440723919973321
58,"CC=2, clusterFC=1, TC=2",0.00462978736510131
59,"CC=2, clusterFC=1, TC=2",0.00485721398085147
60,"CC=2, clusterFC=1, TC=2",0.00508806357884547
61,"CC=2, clusterFC=1, TC=2",0.00532091253250428
62,"CC=2, clusterFC=1, TC=2",0.00555438505583511
63,"CC=2, clusterFC=1, TC=2",0.00578716555100328
64,"CC=2, clusterFC=1, TC=2",0.00601800783330597
65,"CC=2, clusterFC=1, TC=2",0.00624574173842354
66,"CC=2, clusterFC=1, TC=2",0.00646927758052751
67,"CC=2, clusterFC=1, TC=2",0.00668760888794984
68,"CC=2, clusterFC=1, TC=2",0.00689981380048119
69,"CC=2, clusterFC=1, TC=2",0.00710505547216635
70,"CC=2, clusterFC=1, TC=2",0.00730258178756775
71,"CC=2, clusterFC=1, TC=2",0.00749172466864584
72,"CC=2, clusterFC=1, TC=2",0.00767189922354299
73,"CC=2, clusterFC=1, TC=2",0.00784260296681608
74,"CC=2, clusterFC=1, TC=2",0.0080034153216285
75,"CC=2, clusterFC=1, TC=2",0.00815399759623264
76,"CC=2, clusterFC=1, TC=2",0.00829409360760545
77,"CC=2, clusterFC=1, TC=2",0.00842353110206304
78,"CC=2, clusterFC=1, TC=2",0.00854222409385453
79,"CC=2, clusterFC=1, TC=2",0.00865017620614452
80,"CC=2, clusterFC=1, TC=2",0.00874748505295242
81,"CC=2, clusterFC=1, TC=2",0.00883434764472835
82,"CC=2, clusterFC=1, TC=2",0.00891106673442287
83,"CC=2, clusterFC=1, TC=2",0.00897805794634209
84,"CC=2, clusterFC=1, TC=2",0.00903585744912556
85,"CC=2, clusterFC=1, TC=2",0.00908512985040097
86,"CC=2, clusterFC=1, TC=2",0.0091266759087055
87,"CC=2, clusterFC=1, TC=2",0.00916143958366701
88,"CC=2, clusterFC=1, TC=2",0.00919051388431633
89,"CC=2, clusterFC=1, TC=2",0.00921514493399395
90,"CC=2, clusterFC=1, TC=2",0.00923673365446797
91,"CC=2, clusterFC=1, TC=2",0.0092568344864894
92,"CC=2, clusterFC=1, TC=2",0.00927715061245719
93,"CC=2, clusterFC=1, TC=2",0.00929952523051896
94,"CC=2, clusterFC=1, TC=2",0.00932592854727884
95,"CC=2, clusterFC=1, TC=2",0.00935844030471452
96,"CC=2, clusterFC=1, TC=2",0.00939922782974644
97,"CC=2, clusterFC=1, TC=2",0.0094505197836657
98,"CC=2, clusterFC=1, TC=2",0.00951457598300994
99,"CC=2, clusterFC=1, TC=2",0.00959365385207788
100,"CC=2, clusterFC=1, TC=2",0.00968997223845007
101,"CC=2, clusterFC=1, TC=2",0.00980567346569395
102,"CC=2, clusterFC=1, TC=2",0.00994278460255654
103,"CC=2, clusterFC=1, TC=2",0.0101031789884803
104,"CC=2, clusterFC=1, TC=2",0.0102885390673308
105,"CC=2, clusterFC=1, TC=2",0.010500321544242
106,"CC=2, clusterFC=1, TC=2",0.0107397257972641
107,"CC=2, clusterFC=1, TC=2",0.0110076663518959
108,"CC=2, clusterFC=1, TC=2",0.011304750070956
109,"CC=2, clusterFC=1, TC=2",0.0116312585347034
110,"CC=2, clusterFC=1, TC=2",0.0119871358976177
111,"CC=2, clusterFC=1, TC=2",0.0123719823197616
112,"CC=2, clusterFC=1, TC=2",0.0127850528922758
113,"CC=2, clusterFC=1, TC=2",0.0132252618169236
114,"CC=2, clusterFC=1, TC=2",0.013691191465327
115,"CC=2, clusterFC=1, TC=2",0.014181105839022
116,"CC=2, clusterFC=1, TC=2",0.0146929678788104
117,"CC=2, clusterFC=1, TC=2",0.0152244600310843
118,"CC=2, clusterFC=1, TC=2",0.0157730074679735
119,"CC=2, clusterFC=1, TC=2",0.0163358033739849
120,"CC=2, clusterFC=1, TC=2",0.0169098357499007
121,"CC=2, clusterFC=1, TC=2",0.0174919152400963
122,"CC=2, clusterFC=1, TC=2",0.0180787035569349
123,"CC=2, clusterFC=1, TC=2",0.0186667421503929
124,"CC=2, clusterFC=1, TC=2",0.0192524808478175
125,"CC=2, clusterFC=1, TC=2",0.0198323062635073
126,"CC=2, clusterFC=1, TC=2",0.0204025698470375
127,"CC=2, clusterFC=1, TC=2",0.0209596154999892
128,"CC=2, clusterFC=1, TC=2",0.0214998067407445
129,"CC=2, clusterFC=1, TC=2",0.0220195534346177
130,"CC=2, clusterFC=1, TC=2",0.0225153381307573
131,"CC=2, clusterFC=1, TC=2",0.0229837420574449
132,"CC=2, clusterFC=1, TC=2",0.0234214708235728
133,"CC=2, clusterFC=1, TC=2",0.0238253798566056
134,"CC=2, clusterFC=1, TC=2",0.0241924995770463
135,"CC=2, clusterFC=1, TC=2",0.0245200602676016
136,"CC=2, clusterFC=1, TC=2",0.0248055165435792
137,"CC=2, clusterFC=1, TC=2",0.0250465712717209
138,"CC=2, clusterFC=1, TC=2",0.0252411987203202
139,"CC=2, clusterFC=1, TC=2",0.0253876666571896
140,"CC=2, clusterFC=1, TC=2",0.0254845570473748
141,"CC=2, clusterFC=1, TC=2",0.0255307849433422
142,"CC=2, clusterFC=1, TC=2",0.0255256151108311
143,"CC=2, clusterFC=1, TC=2",0.0254686758978564
144,"CC=2, clusterFC=1, TC=2",0.0253599698365096
145,"CC=2, clusterFC=1, TC=2",0.0251998804708448
146,"CC=2, clusterFC=1, TC=2",0.0249891749321346
147,"CC=2, clusterFC=1, TC=2",0.0247290018369897
148,"CC=2, clusterFC=1, TC=2",0.0244208841647786
149,"CC=2, clusterFC=1, TC=2",0.0240667068774468
150,"CC=2, clusterFC=1, TC=2",0.0236686991745048
151,"CC=2, clusterFC=1, TC=2",0.0232294114242023
152,"CC=2, clusterFC=1, TC=2",0.0227516869727211
153,"CC=2, clusterFC=1, TC=2",0.0222386291992476
154,"CC=2, clusterFC=1, TC=2",0.021693564347767
155,"CC=2, clusterFC=1, TC=2",0.0211200008177145
156,"CC=2, clusterFC=1, TC=2",0.0205215857267795
157,"CC=2, clusterFC=1, TC=2",0.0199020596626283
158,"CC=2, clusterFC=1, TC=2",0.0192652106099287
159,"CC=2, clusterFC=1, TC=2",0.0186148280706308
161,"CC=2, clusterFC=1, TC=2",0.017288362229207
164,"CC=2, clusterFC=1, TC=2",0.0152872348677741
166,"CC=2, clusterFC=1, TC=2",0.0139824776028195
167,"CC=2, clusterFC=1, TC=2",0.0133470509919513
168,"CC=2, clusterFC=1, TC=2",0.0127259517747854
1,"CC=2, clusterFC=2, TC=2",5.75606310396586e-08
2,"CC=2, clusterFC=2, TC=2",6.56494008616071e-07
3,"CC=2, clusterFC=2, TC=2",2.30373987590509e-06
4,"CC=2, clusterFC=2, TC=2",5.1909738056356e-06
5,"CC=2, clusterFC=2, TC=2",9.31192000069561e-06
6,"CC=2, clusterFC=2, TC=2",1.45653189959453e-05
7,"CC=2, clusterFC=2, TC=2",2.08116531991605e-05
8,"CC=2, clusterFC=2, TC=2",2.79026928364217e-05
9,"CC=2, clusterFC=2, TC=2",3.56987439367266e-05
10,"CC=2, clusterFC=2, TC=2",4.40865384438416e-05
11,"CC=2, clusterFC=2, TC=2",5.30134224976858e-05
12,"CC=2, clusterFC=2, TC=2",6.25567819872894e-05
13,"CC=2, clusterFC=2, TC=2",7.30463271727779e-05
14,"CC=2, clusterFC=2, TC=2",8.52481262721041e-05
15,"CC=2, clusterFC=2, TC=2",0.000100603873016329
16,"CC=2, clusterFC=2, TC=2",0.000121499589313109
17,"CC=2, clusterFC=2, TC=2",0.000151518287242552
18,"CC=2, clusterFC=2, TC=2",0.000195615707911272
19,"CC=2, clusterFC=2, TC=2",0.0002601534452957
20,"CC=2, clusterFC=2, TC=2",0.000352735567613751
21,"CC=2, clusterFC=2, TC=2",0.000481825012570482
22,"CC=2, clusterFC=2, TC=2",0.000656159200931847
23,"CC=2, clusterFC=2, TC=2",0.000884028938578361
24,"CC=2, clusterFC=2, TC=2",0.00117251747798619
25,"CC=2, clusterFC=2, TC=2",0.00152680798637237
26,"CC=2, clusterFC=2, TC=2",0.00194965519379486
27,"CC=2, clusterFC=2, TC=2",0.00244108557801811
28,"CC=2, clusterFC=2, TC=2",0.00299834966476102
29,"CC=2, clusterFC=2, TC=2",0.00361611033310343
30,"CC=2, clusterFC=2, TC=2",0.00428682051728274
31,"CC=2, clusterFC=2, TC=2",0.00500122649446062
